x0,x1,x2,x3,x4,x5,x6,x7,label
4.1818,4.2290,1.3592,0.2552,1.3506,0.0121,0.2028,-1.0935,1
2.8970,2.5604,-1.3027,-0.0512,-0.0797,1.7976,0.8942,0.0114,1
0.2488,0.0442,-0.2029,-1.0824,-0.1511,-0.7461,-1.2503,0.5112,0
2.8913,0.7133,-0.1227,0.9957,1.0592,1.0258,0.0389,-0.8450,1
1.4163,2.8446,0.3793,1.2873,1.1000,-0.1322,-1.2442,-0.3191,1
0.2172,-0.2021,-0.5779,0.2529,-0.5040,-0.6281,0.3115,-0.4020,0
0.2441,0.2732,-1.1394,-0.4812,1.4378,-1.1621,-2.1167,-1.8618,0
0.0291,0.0309,-0.1176,1.2142,-2.6728,0.3959,1.5614,-1.1278,0
-0.3798,-0.7529,-0.8943,-0.3263,1.4275,1.8374,-0.3359,1.9051,0
2.5356,4.2537,-0.0933,0.1311,0.3655,3.1789,0.8513,-0.7073,1
3.4690,2.1382,-0.4898,0.9086,0.0311,0.2786,0.0140,0.3366,1
0.4250,-1.9370,0.6666,-0.9820,-1.4423,-0.0584,0.0840,-0.6935,0
3.3310,1.1578,-0.4069,-0.5849,-0.0466,0.2789,-1.0079,0.7243,1
2.5630,0.6081,-1.9586,-0.0123,-0.2210,-0.1034,-0.0280,0.2256,1
0.9476,-1.1111,-1.1720,-1.0933,0.2889,1.2449,-0.4313,-2.5017,0
0.7960,1.6670,-0.5577,-0.4084,0.0386,-0.3117,1.0493,-0.6760,1
-0.8623,0.4789,-1.5356,0.3897,0.1026,-0.1474,1.5883,-0.6222,0
4.5603,2.2746,-1.2770,0.0699,-1.0762,-0.7518,0.3970,0.5556,1
1.8778,3.4874,1.1575,1.4363,0.5294,1.3634,-1.8808,-0.3179,1
-0.8670,0.1192,-0.5714,-0.1662,1.8822,-0.1697,0.4138,-0.2323,0
0.0757,0.0060,0.4483,1.1653,1.6474,0.3096,0.5895,-1.1509,0
2.4121,3.4403,0.8660,0.2116,0.8864,0.4908,1.2003,0.2894,1
-0.3557,0.3358,-2.9306,0.3829,-3.6484,-1.7235,0.4518,0.4775,0
1.3376,1.7879,1.3705,-0.4840,2.2429,-0.0019,0.4080,1.6169,1
2.6310,1.4977,-0.1097,-0.0356,-1.3647,-0.2558,-0.7422,0.9244,1
2.5346,2.2172,-0.1062,0.2231,0.6168,-0.9997,-1.0416,1.1047,1
2.0877,1.0832,0.4438,0.4634,-1.5307,0.2295,0.7356,0.3744,1
0.6320,-1.4043,0.3310,-0.3026,-0.4828,0.8706,1.4793,1.7944,0
1.3148,-0.1097,0.3527,0.7668,0.1212,0.1308,0.8238,-0.0593,0
-0.7293,-0.4145,0.6339,0.0030,0.3402,0.6701,-0.3748,0.7562,0
0.3788,-1.2348,1.4423,-0.5007,-1.6551,-1.0450,-1.0210,0.0522,0
-0.2739,-0.3368,0.6197,0.3399,0.3160,0.4098,0.6161,-2.1080,0
2.1356,0.3198,0.0361,-0.0046,1.0455,1.1876,0.2028,-0.5004,1
0.4852,-0.5279,-0.0014,0.9861,-0.5578,0.8057,0.6774,-0.9548,0
3.4739,3.1986,0.1019,-0.7623,-0.8592,-0.5377,0.5426,-0.9556,1
2.9375,1.2582,-0.2041,0.1096,2.4451,-1.3773,1.4720,0.1498,1
2.9112,2.6183,0.4447,-0.1537,1.4541,-0.4565,1.1322,-0.6444,1
2.4397,1.4280,0.4550,1.4451,-0.0774,-0.1969,-1.1146,-0.2293,1
-1.5928,-0.9129,0.2268,1.3190,2.8092,-0.5866,1.4353,0.2438,0
2.3488,2.9326,0.0619,0.1104,-0.4083,-1.3981,-1.5436,0.6532,1
-0.2767,-0.5961,0.0085,0.7949,0.1804,-0.6561,1.2263,1.5792,0
0.4946,0.9737,1.2420,1.1301,0.6141,0.5983,0.5197,-1.0973,0
3.2007,1.1442,-0.7946,1.3036,0.8402,1.4874,-0.2717,-1.1522,1
-0.2404,0.1020,0.0790,1.1337,-0.3613,0.3520,-0.9886,0.4503,0
0.0031,-0.7498,-0.2358,-0.1842,-0.2702,1.7713,-0.0984,-0.2439,0
-2.0975,-0.8942,-0.2631,-0.6859,1.3817,-0.1649,1.2884,0.0617,0
2.5372,2.4112,0.0038,1.7188,-2.3196,-2.0015,-0.5432,0.0145,1
0.6901,0.4731,-0.3842,1.0190,1.0302,0.1841,0.9627,0.2726,0
-0.5615,0.6978,0.1106,0.0013,1.4730,-2.4509,-1.4177,-1.1871,0
-0.3633,-0.2546,-1.5073,-0.9852,-0.8608,2.4574,1.8017,-0.4117,0
2.1364,1.3508,-1.9081,-0.1169,-0.9979,-0.0849,-1.6002,-0.7620,1
0.1486,0.3662,0.4175,-1.3205,0.8547,-0.8002,0.6329,-0.0106,0
-1.3764,-0.3162,0.3654,0.6130,-0.1410,1.5318,1.0075,-0.2567,0
0.7501,1.9338,1.9605,-1.2280,-0.9265,1.4849,-1.0583,-1.3225,0
2.0138,2.9202,-0.1024,-0.6506,-0.6742,-0.7123,-0.8795,2.2816,1
2.7975,3.3868,-0.4891,-0.1860,-0.7136,-2.6517,-1.3780,-1.8106,1
0.2502,1.3046,1.3250,-0.0444,1.2906,0.4110,0.7826,-0.9009,1
0.5240,0.7287,-0.5766,0.5595,0.5662,-0.5496,-1.1228,-1.1841,0
0.0865,0.3270,-0.7925,0.0266,0.5705,0.6182,1.5519,1.2770,0
1.4987,4.1836,-0.5310,1.0449,0.0680,-0.4121,-1.8077,-0.1716,1
0.9406,3.4673,1.5168,-0.7969,0.3020,-0.7254,-0.6285,0.7745,1
2.4615,4.2396,-0.4822,0.9993,0.0974,0.7958,-0.4472,-0.0496,1
-0.1155,-0.8361,0.6621,0.6502,0.5936,1.5370,1.4493,-0.3749,0
0.3731,-0.6236,0.0234,-0.5997,1.6201,0.3637,-0.2180,1.1936,0
0.3294,0.4859,0.7958,0.0605,0.2504,-1.3264,-0.0232,2.0035,1
3.3242,2.6697,-0.4391,-0.3946,-2.1292,0.2576,0.8455,-1.5756,1
-0.6614,-1.1575,-0.9654,0.0535,-2.0844,0.6143,0.7539,-0.2511,0
0.0193,1.5036,1.2329,-2.7780,-0.3475,-1.1800,0.8046,-0.6751,1
2.9040,3.0655,1.8362,-0.2029,0.3760,-1.4851,1.1904,-0.7605,1
-0.5608,-0.0222,-1.5629,0.2288,0.9675,0.2929,-1.5889,-0.1238,0
3.2420,0.6220,-1.0748,0.8765,0.2701,0.4120,1.8595,0.4686,1
0.6579,2.7107,-0.2138,-0.7979,0.4278,0.4390,-0.5267,-1.0324,0
2.3098,0.3268,-0.7323,0.9159,-0.1091,-0.2529,0.5623,-1.2919,0
2.8526,4.4130,0.4662,-0.3762,-0.5071,-0.4103,-0.2540,-0.3778,1
3.4163,0.7668,0.8620,-0.3797,0.3769,-1.1270,1.3286,1.2456,1
0.9596,-1.5148,0.8291,0.4049,-1.6053,-0.0243,0.3645,0.5561,0
2.6773,2.7912,1.4736,1.2260,-2.8671,-0.3174,-0.1647,-1.7521,1
0.0942,1.2488,-1.0866,0.3364,-0.9158,-0.6719,1.4774,-0.5426,0
2.9622,0.6288,1.8623,0.6027,-0.1825,0.5755,-1.4098,1.1825,1
-0.3240,-0.2041,-0.4917,-0.5807,0.6947,0.2559,0.6517,-0.0088,0
3.0132,2.0812,2.2297,-1.5679,1.2609,1.3679,-0.8522,2.2293,1
3.4955,3.4711,0.0280,-0.2172,-0.2094,0.3905,1.4012,0.1813,1
1.5886,3.3244,0.9212,0.6547,0.7455,-0.2709,-0.9290,-0.8682,1
0.8645,2.7369,-0.0834,-0.4400,-2.9556,-1.2473,1.1208,-0.6646,1
0.3606,-1.3907,1.4387,-0.1440,0.2900,2.3258,1.5164,-0.3066,0
1.9068,2.1745,0.5099,-0.1052,-0.3952,1.4672,-0.1142,2.2996,1
0.0907,1.7853,0.3573,0.9630,-0.7246,-0.8538,0.4597,0.9886,0
2.5403,1.2136,-1.3603,-1.4271,-1.7676,0.1095,1.1250,-0.0134,1
0.2396,2.3092,-0.1628,2.0960,-1.4571,-0.3907,1.7059,0.4500,1
0.5633,0.1146,0.3299,0.7776,-0.8095,0.8781,-1.3730,0.3284,0
2.6787,1.8837,-0.0227,-0.6225,-1.0717,-0.3536,-1.1040,0.3228,1
1.3499,3.2120,-1.1815,-0.5663,-0.6246,1.3251,0.3303,-0.2117,1
0.4987,-2.1072,-0.0431,1.9975,0.1323,0.0679,0.5481,0.8956,0
-1.9975,-1.6823,0.2103,-0.7149,1.3120,-0.3152,-1.9345,-1.2680,0
-2.7497,-0.2341,-0.1884,-0.4245,1.0789,1.1985,-0.1704,-2.1347,0
0.6173,0.5554,0.3094,0.9815,-1.1648,2.0088,-0.9594,0.7492,0
-1.6873,-0.9303,1.5164,-0.2609,0.8399,0.2370,-0.1050,1.3639,0
2.2633,0.7193,-0.8032,0.5512,0.3955,-1.5671,-0.7243,-0.5817,1
2.1345,1.1241,-0.6284,-0.7286,0.7715,0.8091,-0.1458,-0.3920,1
0.1399,-0.8166,-1.1468,-0.9402,-0.6348,-1.1635,0.1621,0.7297,0
0.9129,2.5251,-0.2199,0.3415,-0.0129,-1.4536,-1.2624,0.0294,1
3.5288,0.2858,0.3457,1.1896,-0.1530,0.5502,-0.7031,-0.1194,1
-1.6209,-2.3443,0.9428,-0.9850,-0.4555,-1.3864,-1.4100,-0.1738,0
1.7704,2.8780,0.4525,0.3208,0.2386,1.5778,-1.0676,-0.0549,1
3.6327,3.7645,-1.4218,-0.3124,1.3581,0.5081,0.1953,-0.2177,1
2.1162,2.7882,-0.2524,-0.0426,0.0786,-0.6781,0.5321,2.9142,1
0.7230,2.8240,-0.7602,0.5774,0.0466,0.7619,1.1755,0.1924,1
3.6321,0.1557,1.5905,0.3751,1.0778,-1.2199,-0.8308,0.1459,1
-0.0170,0.2831,1.0845,-1.7652,0.9738,0.0083,-0.2038,-1.4711,0
3.0030,0.0859,0.6484,-1.4921,0.0535,-0.1192,1.1695,-0.1787,1
1.8059,1.9934,1.2729,0.5363,-0.3856,-0.2364,-1.5672,0.3885,1
-1.7598,0.7518,0.1286,2.3870,-1.1001,-0.1027,1.7983,1.1914,0
1.8038,2.7240,0.0020,0.2820,-0.6987,-0.0893,-1.5981,0.1351,1
0.4500,-0.2274,-1.6151,0.9885,0.3645,-0.7260,-0.2806,-1.5007,0
-1.0254,-0.5378,1.2284,-0.6395,0.6402,-0.5383,0.2479,-0.1414,0
0.8731,-0.5348,-1.5725,-1.3819,-0.5319,-1.2491,0.4102,-0.4658,0
4.8746,0.7623,0.2036,-1.1280,-0.4934,0.1414,-2.3254,0.2368,1
1.9029,-0.4534,0.2598,1.0249,-0.1640,-0.5810,-2.2757,0.6410,0
-0.1132,-1.0127,0.1266,-0.5837,-0.5284,0.6063,-1.3384,1.0473,0
-1.3977,-0.6627,1.9229,1.1274,0.0976,-0.9405,-0.5293,0.0733,0
2.5375,2.4091,-0.0308,-0.2144,-1.4420,-0.5165,0.9146,-1.3683,1
2.3104,1.6802,0.1114,-0.3886,1.4774,0.5066,-1.3118,0.6712,1
-0.7747,-0.5770,0.3138,-0.4917,0.8929,-0.7745,-0.6189,-0.6564,0
-0.5656,1.0992,0.6288,1.7099,2.2676,-1.0307,0.0704,-1.1762,0
1.7224,1.8699,-1.0572,-1.0519,-0.1443,-1.2167,0.8421,-0.9178,1
2.8096,-0.4514,0.0720,-1.2953,1.7061,1.1195,0.2969,-1.3468,0
2.7107,1.3786,1.4624,0.8092,0.0954,-2.4364,-0.9834,0.6878,1
1.2129,1.1092,-1.5920,0.3016,1.0155,-1.6583,-0.0079,0.2738,0
2.1992,0.6478,-0.3257,-0.3273,-0.1481,-0.5635,-0.4430,-0.0397,1
0.4425,-0.3044,-0.4096,0.0924,-1.9209,0.4770,-0.0006,0.0397,0
0.9607,-1.9528,-1.9738,0.2738,-0.0071,0.1702,-0.4621,0.6644,0
3.4326,2.9840,-0.2608,-2.1077,0.7692,1.2217,0.6446,-0.8796,1
0.6738,0.8605,1.5588,-0.8761,-0.2265,0.7473,0.0574,-1.1173,0
2.9146,3.0787,0.0880,0.2196,-0.2587,1.4783,-0.9007,-0.5873,1
2.5110,3.3790,-1.4974,-1.3103,-2.0377,0.0327,-1.1183,-0.3846,1
3.1614,1.8585,0.2313,-0.2993,0.6721,0.4751,-0.6919,-0.1687,1
3.5437,2.8934,-1.3970,0.6556,-1.0846,1.4125,1.0241,0.2899,1
2.6572,2.2910,0.6785,-0.3708,0.2356,0.8719,-0.5618,-0.6162,1
-1.1944,-1.0645,-1.8284,0.7298,1.8089,1.4253,-1.6261,0.7249,0
1.4221,-0.4568,0.1014,-2.0079,0.2667,-1.0636,0.1996,-1.5612,0
0.5429,1.0245,-0.7832,-1.1369,-2.1560,-0.2664,-0.5816,-1.5510,0
2.9530,2.0500,-1.0757,-0.5546,1.0713,0.6029,-0.1300,0.6191,1
-1.1609,0.0324,0.1473,-0.4698,0.4355,-0.7804,0.5098,0.5519,0
-2.9172,1.1903,-3.0476,-0.6160,1.0253,-0.3173,-1.4662,-1.0937,0
1.0269,-1.9215,1.1290,-0.0551,-1.1924,-0.5831,-1.0172,0.8662,0
0.7324,-1.7192,-0.4036,-0.8632,1.2935,-1.3501,1.6042,-0.0333,0
-1.1619,-0.6773,-0.8016,-1.2746,0.0948,-1.2279,-2.1804,-0.3797,0
-1.8029,-0.7522,-0.9091,-0.8712,2.0010,0.0564,0.2454,-1.7764,0
1.8460,2.7153,-1.0245,0.9081,-1.2027,-0.2864,-0.5861,0.1643,1
1.8595,2.2291,-0.2361,-0.7344,0.4851,0.2384,-0.0886,-0.4305,1
3.2965,2.2642,-0.3067,0.1047,1.6966,-1.3404,0.7699,-1.8932,1
0.2173,1.5751,0.4887,0.1706,-0.5604,0.0310,-0.2521,-0.7860,0
2.2101,2.6984,-0.7672,-0.8063,-1.3602,0.3907,0.5453,0.2317,1
0.9652,0.0879,0.3920,0.3038,-0.0915,-0.5308,2.2142,-0.4520,0
1.8341,2.9340,0.2519,-1.4048,1.1227,-0.0942,-1.1109,1.1888,1
3.1257,1.2355,1.7772,0.6588,-0.0102,1.5902,0.1593,-0.0281,1
1.8397,3.0819,0.4766,0.0147,-0.7900,0.1299,-0.0698,-1.3335,1
-1.4718,0.5652,-2.6019,0.2054,-0.4781,1.3082,-0.4935,0.6595,0
-0.3969,0.1137,0.7368,-0.4626,0.9966,-0.9937,0.2946,0.9226,0
3.1600,4.4164,-0.7634,-1.3791,-0.9943,0.6604,0.4979,0.1023,1
-1.1230,0.7669,-1.2247,1.1589,2.8574,0.3665,0.5831,-0.4929,0
-1.8102,-0.6027,-1.0929,-1.4470,1.7224,0.2729,0.3797,-0.3090,0
-0.1729,0.9646,-0.0323,0.5307,-0.1960,-0.3422,-1.4069,-1.9777,0
-0.2616,0.0565,-1.2861,-0.0345,0.0538,-2.1560,-0.9151,0.4073,0
0.3871,-1.1537,0.1584,1.0224,0.7771,-0.0953,-0.4680,-0.6293,0
0.4678,0.1951,0.6294,0.1319,0.8188,0.0946,0.7847,0.8708,0
1.6955,0.6919,1.5435,0.2567,-1.7145,-0.7138,0.7719,-0.2797,1
1.9879,3.9009,-1.0473,-0.7982,0.2114,0.3905,0.4963,0.9112,1
2.6986,2.9894,-0.2592,0.0627,0.1075,0.2151,0.7725,0.5551,1
0.0442,-0.8091,0.0677,-0.0280,0.1932,2.2065,-0.5238,0.4223,0
3.5685,2.5980,2.3378,-0.3780,0.3241,-0.7988,-0.3515,0.2489,1
0.8463,0.3191,1.2591,-0.0950,-0.3322,2.7040,0.3942,-0.7195,0
-0.6943,-0.9427,0.9366,-0.3644,0.1274,-0.0635,0.7315,-0.8467,0
-1.0756,0.2243,0.6010,0.3325,-0.8095,0.6775,-0.7439,-0.5215,0
-0.9440,1.3012,0.6334,0.6050,1.2472,2.8126,-1.7092,-0.7384,0
1.8838,1.6492,-1.0776,-0.2997,-1.2166,0.3350,0.0517,0.4810,1
0.5077,0.6030,-0.3734,2.1211,0.2344,-1.8625,-1.0024,-1.7405,0
2.5173,2.3782,-0.4684,2.0109,0.5490,0.7261,-0.9311,-0.9991,1
0.0368,0.1730,-1.8563,-0.1803,0.0141,-0.2151,-0.8134,-0.5395,0
2.3231,2.5908,0.6048,1.0809,-0.2943,-0.4562,0.4377,0.6108,1
-0.4342,0.7904,0.9796,1.2917,1.7783,-0.8664,0.0139,0.0113,0
-0.0981,-0.6493,-1.4856,0.0927,-0.7684,0.0860,-0.7940,-1.0997,0
2.7343,2.6509,0.5793,2.1859,0.2773,0.4851,-1.0776,-1.2869,1
4.0828,1.5765,-1.0439,-0.0391,-0.0902,-0.9025,-0.3050,1.2294,1
-0.8060,-1.3937,0.9426,0.4923,-0.6205,-1.5822,-0.7446,-0.0547,0
3.6657,1.4634,-0.0845,0.6751,-2.3813,1.0338,-1.1825,0.3320,1
0.2467,1.0846,0.5509,-2.3773,-0.7848,0.1382,-0.1950,0.4776,0
3.2894,3.1085,-0.2143,-1.8463,-0.4555,0.4164,-1.0904,0.6313,1
3.4084,2.6269,-3.0638,-1.2781,1.8862,-0.5465,-1.9841,1.2352,1
0.0134,1.1049,0.2770,0.4586,0.3630,0.6975,2.2774,0.9710,0
0.9197,2.9467,1.1415,1.2027,-0.4266,1.1649,0.9277,2.5725,1
-0.7500,-0.5074,-0.3061,-0.4902,-0.8900,-2.7627,-0.4347,0.3694,0
-0.4932,1.9354,0.0134,1.2910,0.2614,0.8264,0.2792,1.3688,0
0.0559,0.4961,0.3663,-0.2883,0.4050,2.2344,-0.2704,0.4195,0
1.2578,1.1403,0.0117,-2.3834,0.5167,-2.2195,1.4699,0.1695,0
3.4997,1.5979,-1.5525,0.2608,-0.0336,-0.4915,0.0847,2.7674,1
0.8345,1.0495,0.8439,1.4795,-0.1901,-2.0548,-0.1886,0.8117,0
-0.9698,-0.1764,-0.6918,1.5020,0.7495,0.6515,0.6216,-0.0372,0
2.6976,1.3148,-2.1864,0.1501,0.3240,1.2093,1.5713,1.5700,1
-0.9980,-0.3523,0.4803,2.5319,1.4801,1.1194,-0.3878,-0.8832,0
3.2889,1.3993,-0.2384,-0.1148,1.5929,-0.3547,-2.4392,0.5044,1
-0.6990,0.0426,-0.0867,-0.2737,0.7903,-1.5329,-0.5170,0.6840,0
1.8859,0.8912,0.6686,1.1231,-0.0450,-1.9608,0.7060,-1.6599,1
2.8088,1.6125,-1.1598,-0.4419,-0.1833,-0.6442,0.5887,-0.4461,1
3.4802,2.7812,-0.6976,-0.8659,-1.6475,0.2907,-0.3546,-2.3722,1
-0.5357,-0.9010,1.5757,-1.7028,-1.4414,1.1100,1.3568,-0.7450,0
-0.6321,0.6162,-2.3271,-1.8612,-0.2807,1.5499,-0.4357,0.1009,0
3.6338,4.6069,-0.5768,-0.0168,1.8221,-1.5222,1.0276,-1.0183,1
0.1025,-0.2426,-0.9580,-0.9831,0.2764,0.9955,-0.1297,0.0701,0
3.0712,1.5284,0.7397,0.8193,2.6036,-0.3761,-0.4581,0.7690,1
0.8191,-0.5351,-0.4032,0.5411,-0.8276,-0.4105,0.0896,0.9959,0
1.8954,0.6576,-1.9166,-1.2594,-1.3132,-0.1546,-1.1889,-0.7028,1
1.7259,2.0595,1.3225,0.6619,0.0161,-0.4610,-0.4332,0.3277,1
0.5842,-0.9076,0.0365,-2.0316,0.2117,0.7621,-0.2801,1.8165,0
-0.8812,0.2174,-0.0358,-0.1003,-0.1143,0.1071,0.8480,1.3777,0
2.4977,3.3153,-0.7018,0.7660,-0.7620,1.0907,2.2106,-0.1221,1
-2.1925,-0.5481,1.2319,0.5531,0.2489,1.0087,0.4845,1.2177,0
3.4194,4.0217,0.3588,0.9053,-0.3071,-0.6015,1.7068,0.2162,1
0.8049,0.1237,-0.5865,0.0110,1.4360,0.5552,-1.7115,-0.2152,0
4.2823,2.2862,-1.8005,1.8930,0.6824,-0.0700,-0.3714,1.0824,1
1.9580,3.6483,0.5422,0.2447,0.1455,-0.1750,1.0456,-0.8653,1
-1.6219,0.6144,0.6312,0.4802,0.4077,-0.3205,0.7875,-0.0456,0
2.0129,2.1881,2.0206,-1.7350,0.4998,-1.6791,-0.1082,-0.4336,1
-2.0850,0.3890,-0.3800,-2.0992,0.8396,1.4350,1.4901,0.3590,0
2.5461,3.8282,1.6824,1.1336,-0.9415,0.2013,0.4395,-1.8096,1
0.4694,2.2730,0.6399,1.4734,0.1829,-0.0732,0.3813,-0.8158,0
-0.9638,1.2663,1.3723,-0.9911,0.9680,-0.0870,0.3398,0.4602,0
0.9944,0.0827,1.4102,0.3094,0.6242,-0.8333,2.1587,0.4698,0
0.7130,-1.6082,-0.8227,1.2379,0.2869,-1.9138,1.0383,-0.5438,0
1.4113,-0.0878,0.2047,1.1790,-0.8975,-0.9928,-0.1965,0.8272,0
1.1691,0.8320,0.8237,-0.6030,-0.3922,-1.8568,-0.6790,-0.0076,1
0.9304,-0.7712,1.6574,-0.6846,-0.6831,1.5374,0.2115,-0.5520,0
2.3449,3.8531,1.4662,-0.8168,-0.0424,0.0902,-0.9862,-0.0557,1
0.0053,1.1402,1.2074,-0.3292,-0.2140,0.6643,-0.5852,0.5886,0
-0.0879,-0.9694,-0.9568,1.4471,-0.1564,1.6404,-0.5136,0.2912,0
4.8927,1.4426,-1.8978,1.2866,-0.8268,-0.0207,-0.5859,0.2682,1
1.5495,2.3201,0.4498,-1.0083,-0.7001,-0.3474,-1.4288,-0.4226,1
0.1188,-0.3995,-0.2714,-0.0199,-0.6557,0.6911,1.4360,-0.4644,0
0.4852,-0.2396,0.3655,1.5658,0.5087,-1.7734,0.4540,1.2329,0
2.2784,3.4956,-0.6901,-1.4855,0.1412,-1.7565,-0.2398,1.2868,1
0.5902,1.2205,-1.0320,-0.0633,-0.3657,1.3991,0.9543,0.4953,1
2.6456,2.8932,-0.8620,0.8572,-1.1120,0.8354,1.1861,0.2109,1
-0.1762,0.4003,-2.8615,0.3023,-0.1134,-0.0506,0.7065,-0.0748,0
-1.1402,-0.1414,0.0676,0.1149,0.1619,1.0394,-1.0860,0.1757,0
3.7899,0.7654,0.1796,-0.5854,-0.3707,-0.9048,-0.1696,1.8413,1
1.2356,1.3304,-1.3019,1.7274,-0.4623,-0.0256,-0.4028,-0.9444,1
-0.2352,2.4582,1.3921,-0.8529,0.6476,-0.8315,-1.7764,1.0195,0
1.1601,1.0461,-0.4699,-0.1668,0.7498,0.3915,-0.3936,-1.6191,0
0.1139,1.0790,-1.1976,0.6388,0.3315,0.7501,0.8720,-0.6945,0
0.8830,1.9665,0.8891,-0.5420,-0.6940,-1.8214,1.7526,0.8257,1
0.7699,0.9677,0.5767,-0.2443,-0.1638,-0.4276,2.6347,0.5559,0
-0.4638,0.4655,-1.0109,1.5045,-0.6611,0.5011,1.0660,0.3848,0
0.0945,0.0108,-0.0564,-0.5767,-0.4495,1.4796,-0.1085,-0.7858,0
1.9837,3.6004,0.6756,0.5603,-0.2575,0.5734,-0.6436,-0.2596,1
0.9698,0.8743,-0.9819,-0.8555,0.1087,1.7261,-1.9156,0.2783,0
-1.3760,-0.6343,-0.3644,-0.4205,-0.5338,0.0072,-0.5353,-1.4625,0
0.7799,0.7529,0.8432,-1.5407,0.2989,0.6760,-1.0312,0.0092,0
-0.1163,1.8422,1.9245,-1.6644,2.4939,-0.9152,0.9807,0.9705,0
1.5043,2.9933,-0.1075,0.5543,0.2307,1.1963,0.0754,-0.1679,1
1.0961,0.5804,0.7318,-0.6646,-1.0453,-0.5677,-0.6208,0.7862,0
0.9760,-0.1551,1.4309,1.3685,0.2434,-0.8219,1.5754,-0.0610,0
2.6262,2.1604,-0.8898,-1.4686,0.6329,-0.7834,3.0595,-1.0861,1
-1.2574,0.5101,1.5293,0.0646,0.5722,-1.8435,-0.6775,-1.0736,0
0.6050,2.6170,-2.2428,-1.3222,-0.5372,-0.8313,0.3964,0.3056,1
3.3938,3.2524,1.1408,-0.0019,0.3035,0.5115,0.1417,-0.3972,1
-0.3324,-0.8176,0.4216,-0.0940,-0.6632,-0.6622,-1.2104,0.9788,0
2.5786,1.6372,0.8085,-0.5604,-1.4065,1.0212,-0.5371,-0.4089,1
0.0412,1.1426,0.0200,-1.1991,0.5439,-0.4850,1.8879,-0.0011,0
0.2650,2.8574,1.9446,1.5759,1.8310,-1.0198,0.9122,-0.7220,1
0.2243,-1.2730,-0.6445,-0.6762,0.8986,0.8007,0.2768,-1.3504,0
2.1884,1.7539,0.8697,1.1782,1.0564,-0.7552,-2.7395,-1.7670,1
3.9216,2.0987,-0.7507,1.6427,1.2652,0.0244,-0.2934,-0.1321,1
2.7272,4.1000,0.4225,0.7260,1.1693,-1.1697,0.7549,-0.2946,1
-2.5161,-2.1282,-1.0181,0.5312,0.1138,0.1844,1.9509,-1.2691,0
-0.0274,0.3044,-0.7363,0.0283,-1.5999,1.4099,-0.6816,2.0314,0
-0.0325,1.0281,-0.0533,-0.0307,-0.5840,0.1191,0.3180,-0.7843,0
-0.1250,-0.6101,2.2997,-0.0897,1.5452,-0.1956,0.2593,-1.3214,0
2.0529,2.7105,1.5860,0.2220,1.3837,0.6407,1.6274,-0.0590,1
2.3902,-0.4854,-0.7665,-1.2101,2.3310,0.8194,-0.3341,1.2490,0
3.1877,4.4661,-1.5478,-0.2654,-0.4625,-1.9737,1.0603,-0.2704,1
3.2396,4.8598,-0.3532,-0.4212,0.1187,0.9872,-0.5667,-0.6310,1
1.0572,0.3786,-2.0447,-1.2254,1.5012,0.4019,-0.7622,-0.1704,0
